_NAME_,_PRICE_,_CUSINE_CATEGORY_,_CITY_,_REGION_,_URL_,_PAGE_NO_,_CUSINE_TYPE_,_TIMING_,_RATING_TYPE_,_RATING_,_VOTES_
"""Ali's Non Vegetarian Restaurant""","""500""","""North Indian""","""Dehradun""","""Karanpur""","""https://www.zomato.com/dehradun/alis-non-vegetarian-restaurant-karanpur/info""","""10""","""Quick Bites""","""10am to 1030pm(Mon-Sun)""","""Good""","""3.6""","""112"""
"""Grill Zone""","""250""","""South Indian,Continental,Bakery,Ice Cream""","""Dehradun""","""Subhash Nagar""","""https://www.zomato.com/dehradun/grill-zone-subhash-nagar/info""","""10""","""Quick Bites""","""9am to 9pm(Mon-Sun)""","""Average""","""3.4""","""58"""
"""New Jassi Restaurant""","""400""","""North Indian,Chinese""","""Dehradun""","""Race Course""","""https://www.zomato.com/dehradun/new-jassi-restaurant-race-course/info""","""10""","""Quick Bites""","""10am to 1030pm(Mon-Sun)""","""Good""","""3.7""","""81"""
"""Sethi's Food Corner""","""350""","""Fast Food""","""Dehradun""","""Paltan Bazaar""","""https://www.zomato.com/dehradun/sethis-food-corner-paltan-bazaar/info""","""10""","""Quick Bites""","""10am to 1030pm(Mon-Sun)""","""Good""","""3.9""","""92"""
"""The Doon Jaayaka""","""150""","""North Indian,Fast Food""","""Dehradun""","""Balliwala""","""https://www.zomato.com/dehradun/the-doon-jaayaka-balliwala/info""","""10""","""Quick Bites""","""1pm to 1030pm(Mon-Sun)""","""Good""","""3.6""","""83"""
"""Bhura Chicken Corner""","""500""","""North Indian""","""Dehradun""","""Race Course""","""https://www.zomato.com/dehradun/bhura-chicken-corner-race-course/info""","""10""","""Casual Dining""","""4pm to 1030pm(Mon-Sun)""","""Good""","""3.8""","""91"""
"""Aangan Restaurant & Bar""","""1000""","""North Indian,Chinese""","""Dehradun""","""Karanpur""","""https://www.zomato.com/dehradun/aangan-restaurant-bar-karanpur/info""","""10""","""Fine Dining""","""1030am to 1030pm(Mon-Sun)""","""Good""","""3.9""","""93"""
"""3 Pyramids""","""1000""","""Italian,Continental,Chinese""","""Dehradun""","""Hathibarkala Salwala""","""https://www.zomato.com/dehradun/3-pyramids-hathibarkala-salwala/info""","""10""","""Lounge""","""11am to 11pm(Mon-Sun)""","""Good""","""3.8""","""108"""
"""Dope""","""400""","""North Indian,Fast Food""","""Dehradun""","""Rajpur""","""https://www.zomato.com/dope-food-truck/info""","""10""","""Food Truck""","""6pm to 1030pm(Mon-Sun)""","""Good""","""3.9""","""82"""
"""Goli Vada Pav No. 1""","""150""","""Street Food""","""Dehradun""","""Jakhan""","""https://www.zomato.com/dehradun/goli-vada-pav-no-1-jakhan/info""","""10""","""Quick Bites""","""10am to 10pm(Mon-Sun)""","""Very Good""","""4.1""","""84"""
"""Café NH 72""","""800""","""Cafe,Beverages""","""Dehradun""","""Prem Nagar""","""https://www.zomato.com/dehradun/café-nh-72-3-prem-nagar/info""","""10""","""Café""","""11am to 9pm(Mon-Sun)""","""Average""","""3.0""","""56"""
"""Kolkata's Lazeez Kathi Rolls""","""250""","""North Indian,Rolls""","""Dehradun""","""Paltan Bazaar""","""https://www.zomato.com/dehradun/kolkatas-lazeez-kathi-rolls-paltan-bazaar/info""","""10""","""Quick Bites""","""11am to 10pm(Mon-Sun)""","""Good""","""3.5""","""62"""
"""Ladpur Restaurant""","""300""","""Chinese,North Indian""","""Dehradun""","""Raipur""","""https://www.zomato.com/dehradun/ladpur-restaurant-raipur/info""","""10""","""Quick Bites""","""630am to 1030pm(Mon-Sun)""","""Good""","""3.7""","""44"""
"""Singh Soup Bar""","""150""","""Fast Food""","""Dehradun""","""Hathibarkala Salwala""","""https://www.zomato.com/dehradun/singh-soup-bar-hathibarkala-salwala/info""","""10""","""Quick Bites""","""11am to 10pm(Mon-Sun)""","""Good""","""3.5""","""68"""
"""Woods Grill Lounge & Cafe""","""800""","""Cafe,Continental,Chinese,North Indian,Italian""","""Dehradun""","""Dharampur""","""https://www.zomato.com/dehradun/woods-grill-lounge-cafe-dharampur/info""","""10""","""Café""","""11am to 11pm(Mon-Sun)""","""Average""","""3.3""","""78"""
"""Oggy & Dobby Cafe""","""250""","""Fast Food""","""Dehradun""","""Jakhan""","""https://www.zomato.com/dehradun/oggy-dobby-cafe-jakhan/info""","""11""","""Quick Bites""","""11am to 1030pm(Mon-Sun)""","""Good""","""3.5""","""28"""
"""Moti Mahal Restaurant""","""1000""","""North Indian,Rajasthani""","""Dehradun""","""Race Course""","""https://www.zomato.com/dehradun/moti-mahal-restaurant-1-race-course/info""","""11""","""Casual Dining""","""10am to 11pm(Mon-Sun)""","""Good""","""3.6""","""114"""
"""Perfect Cravings""","""250""","""Bakery,Desserts""","""Dehradun""","""Paltan Bazaar""","""https://www.zomato.com/dehradun/perfect-cravings-3-paltan-bazaar/info""","""11""","""Bakery""","""9am to 9pm(Mon-Sun)""","""Good""","""3.8""","""29"""
"""Lemon Chilli Family Restaurant""","""600""","""North Indian""","""Dehradun""","""Race Course""","""https://www.zomato.com/dehradun/lemon-chilli-family-restaurant-race-course/info""","""11""","""Casual Dining""","""11am to 11pm(Mon-Sun)""","""Good""","""3.8""","""66"""
"""Standard Bakery The Corner Shop""","""200""","""Fast Food,Desserts,Bakery""","""Dehradun""","""Garhi Cantt""","""https://www.zomato.com/dehradun/standard-bakery-the-corner-shop-garhi-cantt/info""","""11""","""Dessert Parlor""","""9am to 10pm(Mon-Sun)""","""Average""","""3.4""","""16"""
"""Fresho""","""250""","""North Indian""","""Dehradun""","""Jakhan""","""https://www.zomato.com/dehradun/fresho-jakhan/info""","""11""","""Quick Bites""","""12noon to 10pm(Mon-Sun)""","""Good""","""3.7""","""49"""
"""Daddy's Restaurant""","""500""","""North Indian""","""Dehradun""","""Jakhan""","""https://www.zomato.com/dehradun/daddys-restaurant-jakhan/info""","""11""","""Dhaba""","""1230pm to 1030pm(Mon-Fri),1230pm to 1155pm...""","""Good""","""3.8""","""65"""
"""Laxmi Bakers""","""100""","""Bakery,Fast Food""","""Dehradun""","""Morowala""","""https://www.zomato.com/dehradun/laxmi-bakers-morowala/info""","""11""","""Quick Bites""","""8am to 9pm(Mon-Sat),Closed(Sun)""","""Average""","""3.4""","""16"""
"""Sammaan Restaurant""","""400""","""North Indian""","""Dehradun""","""Race Course""","""https://www.zomato.com/dehradun/sammaan-restaurant-race-course/info""","""11""","""Casual Dining""","""9am to 11pm(Mon-Sun)""","""Good""","""3.8""","""70"""
"""Amritsari Express""","""750""","""North Indian""","""Dehradun""","""Pacific Mall-- Jakhan""","""https://www.zomato.com/dehradun/amritsari-express-jakhan/info""","""11""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Good""","""3.8""","""90"""
"""All Day Breakfast""","""200""","""Fast Food,Bakery,North Indian""","""Dehradun""","""Chukkuwala""","""https://www.zomato.com/dehradun/all-day-breakfast-chukkuwala/info""","""11""","""Bakery""","""7am to 1030pm(Mon-Sun)""","""Good""","""3.6""","""52"""
"""The Connoisseur""","""700""","""Chinese,Indian,North Indian,Mughlai""","""Dehradun""","""Malsi""","""https://www.zomato.com/dehradun/the-connoisseur-malsi/info""","""11""","""Quick Bites""","""1130am to 1030pm(Mon-Sun)""","""Good""","""3.9""","""47"""
"""Unique Brew Cafe""","""700""","""Sandwich,Fast Food,Burger,Pizza""","""Dehradun""","""Subhash Nagar""","""https://www.zomato.com/dehradun/unique-brew-cafe-subhash-nagar/info""","""11""","""Quick Bites""","""10am to 10pm(Mon-Sun)""","""Good""","""3.6""","""28"""
"""Pizza Italia""","""350""","""Pizza,Fast Food""","""Dehradun""","""Chironwali""","""https://www.zomato.com/dehradun/pizza-italia-chironwali/info""","""11""","""Quick Bites""","""11am to 10pm(Mon-Sun)""","""Good""","""3.5""","""39"""
"""The Nest Kitchen & Dining""","""350""","""Indian,Chinese,Fast Food""","""Dehradun""","""Chironwali""","""https://www.zomato.com/dehradun/the-nest-kitchen-dining-chironwali/info""","""11""","""Casual Dining""","""12noon to 1030pm(Mon-Sun)""","""Good""","""3.7""","""27"""
"""Karishma Foods""","""350""","""North Indian,Chinese""","""Dehradun""","""Dharampur""","""https://www.zomato.com/dehradun/karishma-foods-dharampur/info""","""12""","""Quick Bites""","""10am to 10pm(Mon-Sun)""","""Good""","""3.7""","""42"""
"""Reggae Chilli""","""800""","""North Indian,Chinese,Italian,Fast Food""","""Dehradun""","""Chironwali""","""https://www.zomato.com/dehradun/reggae-chilli-chironwali/info""","""12""","""Casual Dining""","""1130am to 1030pm(Mon,Wed,Thu,Fri,Sat,Sun)...""","""Good""","""3.5""","""54"""
"""SPS Rana Family Restaurant (KAKU)""","""150""","""North Indian""","""Dehradun""","""Dharampur""","""https://www.zomato.com/dehradun/sps-rana-family-restaurant-kaku-dharampur/info""","""12""","""Quick Bites""","""9am to 1030pm(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Punjabi Foods""","""200""","""Indian,Mughlai,Chinese""","""Dehradun""","""Hathibarkala Salwala""","""https://www.zomato.com/dehradun/punjabi-foods-hathibarkala-salwala/info""","""12""","""Quick Bites""","""12noon to 1130pm(Mon-Sun)""","""Average""","""3.4""","""89"""
"""Ohh My Food""","""250""","""Fast Food""","""Dehradun""","""Balliwala""","""https://www.zomato.com/dehradun/ohh-my-food-balliwala/info""","""12""","""Quick Bites""","""1pm to 11pm(Mon-Sun)""","""Average""","""3.4""","""58"""
"""Cafe Doonga Central""","""300""","""Cafe""","""Dehradun""","""Karanpur""","""https://www.zomato.com/dehradun/cafe-doonga-central-karanpur/info""","""12""","""Café""","""12noon to 10pm(Mon-Sun)""","""Good""","""3.6""","""24"""
"""Lala Jee's Angeethi""","""300""","""North Indian,Chinese""","""Dehradun""","""Paltan Bazaar""","""https://www.zomato.com/dehradun/lala-jees-angeethi-paltan-bazaar/info""","""12""","""none""","""5pm to 10pm(Mon-Sun)""","""Good""","""3.9""","""60"""
"""Hot Plate Restro""","""250""","""North Indian,Chinese""","""Dehradun""","""Ballupur""","""https://www.zomato.com/dehradun/hot-plate-restro-ballupur/info""","""12""","""Quick Bites""","""1030am to 1030pm(Mon-Sun)""","""Good""","""3.5""","""35"""
"""Guts & Glory Cafe & Restro""","""600""","""Cafe,Fast Food,North Indian,Chinese""","""Dehradun""","""Malsi""","""https://www.zomato.com/dehradun/guts-glory-cafe-restro-malsi/info""","""12""","""Café""","""11am to 1045pm(Mon-Sun)""","""Very Good""","""4.1""","""23"""
"""Doon Bakers and Confectioners""","""200""","""Bakery,Desserts,Fast Food""","""Dehradun""","""Paltan Bazaar""","""https://www.zomato.com/dehradun/doon-bakers-and-confectioners-paltan-bazaar/info""","""12""","""Bakery""","""7am to 10pm(Mon-Sun)""","""Good""","""3.5""","""22"""
"""Van Dough Pizzeria""","""900""","""Pizza""","""Dehradun""","""Dharampur""","""https://www.zomato.com/dehradun/van-dough-pizzeria-dharampur/info""","""12""","""none""","""NA""","""Good""","""3.6""","""35"""
"""Burger & Fast Food Corner""","""100""","""Fast Food,North Indian""","""Dehradun""","""Dharampur""","""https://www.zomato.com/dehradun/burger-fast-food-corner-dharampur/info""","""12""","""Quick Bites""","""12noon to 10pm(Mon-Sun)""","""Average""","""2.9""","""16"""
"""Gazebo Restaurant & Party Lawn""","""800""","""North Indian,Chinese,Continental,Mughlai""","""Dehradun""","""Rajpur""","""https://www.zomato.com/dehradun/gazebo-restaurant-party-lawn-rajpur/info""","""12""","""Casual Dining""","""730am to 1030pm(Mon-Sun)""","""Good""","""3.6""","""33"""
"""Yummies Fast Food""","""250""","""Fast Food""","""Dehradun""","""Dharampur""","""https://www.zomato.com/dehradun/yummies-fast-food-dharampur/info""","""12""","""Quick Bites""","""930am to 1015pm(Mon-Sun)""","""Good""","""3.5""","""59"""
"""Melt - Hotel Saffron Leaf""","""1000""","""North Indian,Chinese,Finger Food""","""Dehradun""","""Kaonli""","""https://www.zomato.com/dehradun/melt-hotel-saffron-leaf-kaonli/info""","""12""","""Casual Dining""","""7am to 1030pm(Mon-Sun)""","""Good""","""3.6""","""39"""
"""Chanchal Restaurant""","""550""","""Street Food,Mithai,Chinese,North Indian""","""Dehradun""","""Dharampur""","""https://www.zomato.com/dehradun/chanchal-restaurant-dharampur/info""","""13""","""Sweet Shop""","""9am to 1030pm(Mon-Sun)""","""Good""","""3.5""","""63"""
"""Ginger and Grape""","""800""","""North Indian,Chinese""","""Dehradun""","""Chukkuwala""","""https://www.zomato.com/dehradun/ginger-and-grape-chukkuwala/info""","""13""","""Casual Dining""","""1030am to 1030pm(Mon-Sun)""","""Good""","""3.6""","""39"""
"""Lazezz Kathi Roll From Kolkata's""","""120""","""Rolls""","""Dehradun""","""Ballupur""","""https://www.zomato.com/dehradun/lazezz-kathi-roll-from-kolkatas-ballupur/info""","""13""","""Quick Bites""","""11am to 1030pm(Mon-Sun)""","""Good""","""3.7""","""24"""
"""Ambrosia""","""1200""","""North Indian,Continental,Chinese""","""Dehradun""","""Chukkuwala""","""https://www.zomato.com/dehradun/ambrosia-chukkuwala/info""","""13""","""Casual Dining""","""11am to 1030pm(Mon-Sun)""","""Average""","""3.4""","""56"""
"""Al Baik Chicken""","""200""","""Fast Food""","""Dehradun""","""Balliwala""","""https://www.zomato.com/dehradun/al-baik-chicken-balliwala/info""","""13""","""Quick Bites""","""12noon to 12midnight(Mon-Sun)""","""Very Good""","""4.1""","""58"""
"""New Dana Pani Restaurant""","""500""","""North Indian,Chinese""","""Dehradun""","""Majra""","""https://www.zomato.com/dehradun/new-dana-pani-restaurant-majra/info""","""13""","""Casual Dining""","""11am to 1030pm(Mon-Sun)""","""Good""","""3.6""","""34"""
"""Doon Tripple Nine""","""600""","""North Indian,Chinese""","""Dehradun""","""Krishna Nagar""","""https://www.zomato.com/dehradun/doon-tripple-nine-krishna-nagar/info""","""13""","""Casual Dining""","""11am to 11pm(Mon-Sun)""","""Good""","""3.8""","""88"""
"""H.U.H Hold Ur Hunger""","""500""","""Cafe""","""Dehradun""","""Subhash Nagar""","""https://www.zomato.com/dehradun/h-u-h-hold-ur-hunger-subhash-nagar/info""","""13""","""Café""","""11am to 10pm(Mon-Sat),4pm to 10pm(Sun)""","""Good""","""3.5""","""35"""
"""Kalra Sweet Shop""","""150""","""Street Food,Mithai,Fast Food""","""Dehradun""","""Prem Nagar""","""https://www.zomato.com/dehradun/kalra-sweet-shop-prem-nagar/info""","""13""","""Sweet Shop""","""9am to 930pm(Mon-Sun)""","""Average""","""3.4""","""33"""
"""Kumar Foods Restaurant""","""800""","""North Indian,Chinese,Continental""","""Dehradun""","""Chukkuwala""","""https://www.zomato.com/dehradun/kumar-foods-restaurant-chukkuwala/info""","""13""","""Casual Dining""","""11am to 11pm(Mon-Sun)""","""Good""","""3.8""","""88"""
"""Oxygin Lounge & Bistro""","""0""","""North Indian,Chinese,Continental,Lebanese""","""Dehradun""","""Hathibarkala Salwala""","""https://www.zomato.com/dehradun/oxygin-lounge-bistro-hathibarkala-salwala/info""","""13""","""Casual Dining""","""11am to 1130pm(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""The Urban Pendu Cafe""","""1200""","""Cafe""","""Dehradun""","""Subhash Nagar""","""https://www.zomato.com/dehradun/the-urban-pendu-cafe-subhash-nagar/info""","""13""","""Café""","""9am to 10pm(Mon-Sun)""","""Good""","""3.6""","""37"""
"""Paridhi Restaurant And Fast Food""","""400""","""North Indian,Biryani,Fast Food,Chinese,Rolls,Momos""","""Dehradun""","""Majra""","""https://www.zomato.com/dehradun/paridhi-restaurant-and-fast-food-majra/info""","""13""","""Casual Dining""","""9am to 10pm(Mon-Sun)""","""Average""","""3.4""","""25"""
"""Laziz Pizza""","""400""","""Fast Food""","""Dehradun""","""Morowala""","""https://www.zomato.com/dehradun/laziz-pizza-morowala/info""","""13""","""Quick Bites""","""11am to 10pm(Mon-Sun)""","""Average""","""3.3""","""33"""
"""Doonites Cafe""","""500""","""Chinese,Continental""","""Dehradun""","""Subhash Nagar""","""https://www.zomato.com/dehradun/doonites-cafe-subhash-nagar/info""","""13""","""Quick Bites""","""8am to 10pm(Mon-Sun)""","""Good""","""3.5""","""18"""
"""New Anchal Sweets & Dairy""","""200""","""Mithai,Fast Food,Street Food,Momos""","""Dehradun""","""Dharampur""","""https://www.zomato.com/dehradun/new-anchal-sweets-dairy-dharampur/info""","""14""","""Quick Bites""","""6am to 9pm(Mon-Sun)""","""Good""","""3.7""","""44"""
"""FairMenu""","""400""","""North Indian,Chinese""","""Dehradun""","""Krishna Nagar""","""https://www.zomato.com/dehradun/fairmenu-krishna-nagar/info""","""14""","""Quick Bites""","""11am to 10pm(Mon-Thu),1130am to 1030pm...""","""Good""","""3.7""","""35"""
"""Uncle Johns Pizza""","""600""","""Fast Food,Beverages,Pizza""","""Dehradun""","""Raipur""","""https://www.zomato.com/dehradun/uncle-johns-pizza-raipur/info""","""14""","""Quick Bites""","""1030am to 1130pm(Mon-Sun)""","""Good""","""3.6""","""68"""
"""Greens Dine Leisure Point""","""550""","""North Indian,Chinese""","""Dehradun""","""Prem Nagar""","""https://www.zomato.com/dehradun/greens-dine-leisure-point-prem-nagar/info""","""14""","""Casual Dining""","""930am to 10pm(Mon-Sun)""","""Good""","""3.8""","""39"""
"""Hungry Cafe""","""250""","""Cafe""","""Dehradun""","""Karanpur""","""https://www.zomato.com/dehradun/hungry-cafe-1-karanpur/info""","""14""","""Café""","""11am to 10pm(Mon-Sun)""","""Average""","""3.4""","""15"""
"""The Oven Bakery""","""250""","""Bakery,Continental""","""Dehradun""","""Dharampur""","""https://www.zomato.com/dehradun/the-oven-bakery-dharampur/info""","""14""","""Bakery""","""1030am to 7pm(Mon-Sun)""","""Average""","""3.4""","""11"""
"""Matta's Food Corner""","""400""","""Fast Food,Street Food""","""Dehradun""","""Laxman Chowk""","""https://www.zomato.com/dehradun/mattas-food-corner-laxman-chowk/info""","""14""","""Quick Bites""","""12noon to 10pm(Mon-Sun)""","""Good""","""3.7""","""44"""
"""Bikanervala""","""600""","""North Indian,Mithai,Chinese,South Indian,Street Food,Beverages""","""Dehradun""","""Chironwali""","""https://www.zomato.com/dehradun/bikanervala-chironwali/info""","""14""","""Quick Bites""","""(Mon-Sun)""","""Average""","""2.8""","""39"""
"""Hideout Cafe""","""300""","""Cafe""","""Dehradun""","""Dharampur""","""https://www.zomato.com/dehradun/hideout-cafe-1-dharampur/info""","""14""","""Café""","""10am to 10pm(Mon-Sun)""","""Good""","""3.6""","""40"""
"""Chutney Merry""","""400""","""North Indian,Chinese""","""Dehradun""","""Krishna Nagar""","""https://www.zomato.com/dehradun/chutney-merry-krishna-nagar/info""","""14""","""Casual Dining""","""8am to 1030pm(Mon-Sun)""","""Average""","""3.2""","""25"""
"""Talab Cafe""","""300""","""Chinese,North Indian,Beverages,Continental""","""Dehradun""","""Balliwala""","""https://www.zomato.com/dehradun/talab-cafe-balliwala/info""","""14""","""Quick Bites""","""10am to 10pm(Mon-Sun)""","""Good""","""3.7""","""17"""
"""Kukreja Food Complex""","""1000""","""Chinese,North Indian,Mughlai""","""Dehradun""","""Krishna Nagar""","""https://www.zomato.com/dehradun/kukreja-food-complex-krishna-nagar/info""","""14""","""Fine Dining""","""1030am to 1030pm(Mon-Sun)""","""Average""","""3.2""","""45"""
"""Kuks N Bakes""","""400""","""Bakery""","""Dehradun""","""Subhash Nagar""","""https://www.zomato.com/dehradun/kuks-n-bakes-subhash-nagar/info""","""14""","""Bakery""","""10am to 7pm(Mon-Sun)""","""Average""","""3.3""","""13"""
"""Mr & Mrs Cafe""","""300""","""Fast Food""","""Dehradun""","""Morowala""","""https://www.zomato.com/dehradun/mr-mrs-cafe-morowala/info""","""14""","""Quick Bites""","""10am to 1030pm(Mon),11am to 10pm(Tue-Sun)""","""Average""","""3.2""","""20"""
"""First Crush Cafe""","""300""","""Coffee,Beverages,Burger,Pizza""","""Dehradun""","""Ballupur""","""https://www.zomato.com/dehradun/first-crush-cafe-1-ballupur/info""","""14""","""Café""","""9am to 11pm(Mon-Sun)""","""Average""","""3.3""","""39"""
"""The Northeast Hut""","""400""","""North Eastern""","""Dehradun""","""Krishna Nagar""","""https://www.zomato.com/dehradun/the-northeast-hut-1-krishna-nagar/info""","""15""","""Quick Bites""","""7am to 1030pm(Mon-Sun)""","""Average""","""3.3""","""34"""
"""Doon Chowpati""","""500""","""South Indian,Chinese""","""Dehradun""","""Kaonli""","""https://www.zomato.com/dehradun/doon-chowpati-kaonli/info""","""15""","""Food Court""","""9am to 10pm(Mon-Sun)""","""Good""","""3.5""","""27"""
"""Jeeja Saaley Di Angeethi""","""150""","""Fast Food,Momos,Chinese""","""Dehradun""","""Ballupur""","""https://www.zomato.com/dehradun/jeeja-saaley-di-angeethi-1-ballupur/info""","""15""","""Quick Bites""","""1pm to 10pm(Mon-Sun)""","""Good""","""3.6""","""20"""
"""Friends Sandwich Corner""","""150""","""Fast Food""","""Dehradun""","""Prem Nagar""","""https://www.zomato.com/dehradun/friends-sandwich-corner-prem-nagar/info""","""15""","""Quick Bites""","""4pm to 10pm(Mon-Sun)""","""Good""","""3.6""","""26"""
"""Tandon's Fast Food""","""150""","""Chinese,Momos""","""Dehradun""","""Rajpur""","""https://www.zomato.com/dehradun/tandons-fast-food-rajpur/info""","""15""","""Dhaba""","""1pm to 10pm(Mon-Sun)""","""Very Good""","""4.0""","""38"""
"""Yuri Restaurant""","""700""","""North Indian,Chinese""","""Dehradun""","""Morowala""","""https://www.zomato.com/dehradun/yuri-restaurant-morowala/info""","""15""","""Casual Dining""","""10am to 1030pm(Mon-Sun)""","""Good""","""3.5""","""40"""
"""Nagpal Foods""","""200""","""North Indian""","""Dehradun""","""Dharampur""","""https://www.zomato.com/dehradun/nagpal-foods-dharampur/info""","""15""","""Quick Bites""","""10am to 10pm(Mon-Sun)""","""Average""","""3.4""","""36"""
"""Bhardwaj Bakers""","""150""","""Fast Food,Desserts,Bakery""","""Dehradun""","""Dharampur""","""https://www.zomato.com/dehradun/bhardwaj-bakers-dharampur/info""","""15""","""Quick Bites""","""8am to 10pm(Mon-Sun)""","""Average""","""3.3""","""20"""
"""Karma Lounge""","""1000""","""North Indian,Fast Food""","""Dehradun""","""Hathibarkala Salwala""","""https://www.zomato.com/dehradun/karma-lounge-hathibarkala-salwala/info""","""15""","""Casual Dining""","""11am to 11pm(Mon-Sun)""","""Good""","""3.8""","""23"""
"""Apeez Restaurant""","""300""","""North Indian,Chinese,Beverages""","""Dehradun""","""Kaonli""","""https://www.zomato.com/dehradun/apeez-restaurant-1-kaonli/info""","""15""","""Quick Bites""","""10am to 10pm(Mon,Fri,Sat,Sun),1030am to 10pm...""","""None""","""NEW""","""NEW"""
"""Delhi 6 Shawarma Buzz""","""200""","""Mughlai""","""Dehradun""","""Morowala""","""https://www.zomato.com/dehradun/delhi-6-shawarma-buzz-morowala/info""","""15""","""Quick Bites""","""3pm to 1030pm(Mon-Sun)""","""Good""","""3.5""","""28"""
"""Abnormal Point""","""200""","""North Indian,Chinese,Mughlai""","""Dehradun""","""Subhash Nagar""","""https://www.zomato.com/dehradun/abnormal-point-subhash-nagar/info""","""15""","""Quick Bites""","""10am to 10pm(Mon-Sun)""","""Good""","""3.7""","""53"""
"""Eating Point""","""200""","""Chinese,North Indian,Pizza""","""Dehradun""","""Race Course""","""https://www.zomato.com/dehradun/eating-point-race-course/info""","""15""","""Quick Bites""","""5pm to 10pm(Mon-Sun)""","""Good""","""3.5""","""33"""
